timestamp,G1,G2,G3,G4,G5,G6,total_vehicles,Label,seconds
1970-01-01 00:03:56,0,1,0,1,0,0,2,MEDIUM,236
1970-01-01 00:03:59,0,0,1,0,0,0,1,LOW,239
1970-01-01 00:04:00,0,0,0,0,1,0,1,LOW,240
1970-01-01 00:04:05,1,0,0,0,0,0,1,LOW,245
1970-01-01 00:04:06,0,1,0,1,0,1,3,HEAVY,246
1970-01-01 00:04:08,0,0,1,0,0,0,1,LOW,248
1970-01-01 00:04:14,1,0,0,0,1,0,2,MEDIUM,254
1970-01-01 00:04:15,0,1,0,0,0,0,1,LOW,255
1970-01-01 00:04:16,0,0,0,0,0,1,1,LOW,256
1970-01-01 00:04:17,0,0,1,1,0,0,2,MEDIUM,257
1970-01-01 00:04:25,1,0,0,0,0,0,1,LOW,265
1970-01-01 00:04:26,0,1,0,0,0,0,1,LOW,266
1970-01-01 00:04:28,0,0,1,0,0,1,2,MEDIUM,268
1970-01-01 00:04:29,0,0,0,0,1,0,1,LOW,269
1970-01-01 00:04:34,1,0,0,0,0,0,1,LOW,274
1970-01-01 00:04:36,0,1,0,0,0,0,1,LOW,276
1970-01-01 00:04:37,0,0,1,1,0,0,2,MEDIUM,277
1970-01-01 00:04:39,0,0,0,0,1,0,1,LOW,279
1970-01-01 00:04:41,0,0,0,0,0,1,1,LOW,281
1970-01-01 00:04:44,1,0,0,0,0,0,1,LOW,284
1970-01-01 00:04:45,0,1,0,0,0,0,1,LOW,285
1970-01-01 00:04:46,0,0,1,0,0,0,1,LOW,286
1970-01-01 00:04:53,1,0,0,0,0,1,2,MEDIUM,293
1970-01-01 00:04:54,0,1,0,0,0,0,1,LOW,294
1970-01-01 00:04:57,0,0,1,0,0,0,1,LOW,297
1970-01-01 00:05:03,0,0,0,1,0,0,1,LOW,303
1970-01-01 00:05:04,1,0,0,0,0,0,1,LOW,304
1970-01-01 00:05:05,0,1,0,0,0,0,1,LOW,305
1970-01-01 00:05:07,0,0,1,0,0,0,1,LOW,307
1970-01-01 00:05:08,0,0,0,0,1,0,1,LOW,308
1970-01-01 00:05:09,0,0,0,0,0,1,1,LOW,309
1970-01-01 00:05:14,1,1,0,0,0,0,2,MEDIUM,314
1970-01-01 00:05:16,0,0,1,0,0,0,1,LOW,316
1970-01-01 00:05:19,0,0,0,0,0,1,1,LOW,319
1970-01-01 00:05:23,1,0,0,0,0,0,1,LOW,323
1970-01-01 00:05:25,0,0,0,1,0,0,1,LOW,325
1970-01-01 00:05:26,0,1,0,0,0,0,1,LOW,326
1970-01-01 00:05:28,0,0,1,0,0,0,1,LOW,328
1970-01-01 00:05:30,0,0,0,0,1,0,1,LOW,330
1970-01-01 00:05:33,1,0,0,0,0,0,1,LOW,333
1970-01-01 00:05:34,0,0,0,1,0,0,1,LOW,334
1970-01-01 00:05:36,0,1,0,0,0,0,1,LOW,336
1970-01-01 00:05:38,0,0,1,0,0,0,1,LOW,338
1970-01-01 00:05:41,0,0,0,0,1,0,1,LOW,341
1970-01-01 00:05:43,1,0,0,0,0,0,1,LOW,343
1970-01-01 00:05:44,0,0,0,1,0,0,1,LOW,344
1970-01-01 00:05:47,0,0,1,0,0,0,1,LOW,347
1970-01-01 00:05:49,0,0,0,0,0,1,1,LOW,349
1970-01-01 00:05:50,0,0,0,0,1,0,1,LOW,350
1970-01-01 00:05:51,0,1,0,0,0,0,1,LOW,351
1970-01-01 00:05:57,1,0,1,0,0,0,2,MEDIUM,357
1970-01-01 00:06:00,0,0,0,1,0,1,2,MEDIUM,360
1970-01-01 00:06:01,0,1,0,0,0,0,1,LOW,361
1970-01-01 00:06:06,0,0,1,0,0,0,1,LOW,366
1970-01-01 00:06:08,1,0,0,0,1,0,2,MEDIUM,368
1970-01-01 00:06:10,0,1,0,0,0,1,2,MEDIUM,370
1970-01-01 00:06:12,0,0,0,1,0,0,1,LOW,372
1970-01-01 00:06:16,0,0,1,0,0,0,1,LOW,376
1970-01-01 00:06:19,1,0,0,0,0,0,1,LOW,379
1970-01-01 00:06:21,0,0,0,0,0,1,1,LOW,381
1970-01-01 00:06:22,0,1,0,0,0,0,1,LOW,382
1970-01-01 00:06:23,0,0,0,0,1,0,1,LOW,383
1970-01-01 00:06:26,0,0,1,0,0,0,1,LOW,386
1970-01-01 00:06:30,1,0,0,0,0,0,1,LOW,390
1970-01-01 00:06:32,0,1,0,1,0,0,2,MEDIUM,392
1970-01-01 00:06:35,0,0,0,0,0,1,1,LOW,395
